"id","reference","definition"
"11","Abdi","<p>My servant. (1.) 1 Chr. 6:44. (2.) 2 Chr. 29:12. (3.) Ezra 10:26.</p>"
"12","Abdiel","<p>Servant of God, (1 Chr. 5:15), a Gadite chief.</p>"
"13","Abdon","<p>Servile. (1.) The son of Hillel, a Pirathonite, the tenth judge of Israel (Judg. 12:13-15). He is probably the Bedan of 1 Sam. 12:11.</p><p>(2.) The first-born of Gibeon of the tribe of Benjamin (1 Chr. 8:30; 9:36).</p><p>(3.) The son of Micah, one of those whom Josiah sent to the prophetess Huldah to ascertain from her the meaning of the recently discovered book of the law (2 Chr. 34:20). He is called Achbor in 2 Kings 22:12.</p><p>(4.) One of the &quot;sons&quot; of Shashak (1 Chr. 8:23).</p><p>This is the name also of a Levitical town of the Gershonites, in the tribe of Asher (Josh. 21:30; 1 Chr. 6:74). The ruins of Abdeh, some 8 miles north-east of Accho, probably mark its site.</p>"
"14","Abednego","<p>Servant of Nego=Nebo, the Chaldee name given to Azariah, one of Daniel&#39;s three companions (Dan. 2:49). With Shadrach and Meshach, he was delivered from the burning fiery furnace (3:12-30).</p>"
"15","Abel","<p>(Heb. Hebhel), a breath, or vanity, the second son of Adam and Eve. He was put to death by his brother Cain (Gen. 4:1-16). Guided by the instruction of their father, the two brothers were trained in the duty of worshipping God. &quot;And in process of time&quot; (marg. &quot;at the end of days&quot;, i.e., on the Sabbath) each of them offered up to God of the first-fruits of his labours. Cain, as a husbandman, offered the fruits of the field; Abel, as a shepherd, of the firstlings of his flock. &quot;The Lord had respect unto Abel and his offering; but unto Cain and his offering he had not respect&quot; (Gen. 4:3-5). On this account Cain was angry with his brother, and formed the design of putting him to death; a design which he at length found an opportunity of carrying into effect (Gen. 4:8, 9. Comp. 1 John 3:12). There are several references to Abel in the New Testament. Our Saviour speaks of him as &quot;righteous&quot; (Matt. 23:35). &quot;The blood of sprinkling&quot; is said to speak &quot;better things than that of Abel&quot; (Heb. 12:24); i.e., the blood of Jesus is the reality of which the blood of the offering made by Abel was only the type. The comparison here is between the sacrifice offered by Christ and that offered by Abel, and not between the blood of Christ calling for mercy and the blood of the murdered Abel calling for vengeance, as has sometimes been supposed. It is also said (Heb. 11:4) that &quot;Abel offered unto God a more excellent sacrifice than Cain.&quot; This sacrifice was made &quot;by faith;&quot; this faith rested in God, not only as the Creator and the God of providence, but especially in God as the great Redeemer, whose sacrifice was typified by the sacrifices which, no doubt by the divine institution, were offered from the days of Adam downward. On account of that &quot;faith&quot; which looked forward to the great atoning sacrifice, Abel&#39;s offering was accepted of God. Cain&#39;s offering had no such reference, and therefore was rejected. Abel was the first martyr, as he was the first of our race to die.</p><p>Abel (Heb. abhel), lamentation (1 Sam. 6:18), the name given to the great stone in Joshua&#39;s field whereon the ark was &quot;set down.&quot; The Revised Version, however, following the Targum and the LXX., reads in the Hebrew text &#39;ebhen (= a stone), and accordingly translates &quot;unto the great stone, whereon they set down the ark.&quot; This reading is to be preferred.</p><p>Abel (Heb. abhel), a grassy place, a meadow. This word enters into the composition of the following words:</p>"
"16","Abelbethmaachah","<p>Meadow of the house of Maachah, a city in the north of Palestine, in the neighbourhood of Dan and Ijon, in the tribe of Naphtali. It was a place of considerable strength and importance. It is called a &quot;mother in Israel&quot;, i.e., a metropolis (2 Sam. 20:19). It was besieged by Joab (2 Sam. 20:14), by Benhadad (1 Kings 15:20), and by Tiglath-pileser (2 Kings 15:29) about B.C. 734. It is elsewhere called Abel-maim, meadow of the waters, (2 Chr. 16:4). Its site is occupied by the modern Abil or Abil-el-kamh, on a rising ground to the east of the brook Derdarah, which flows through the plain of Huleh into the Jordan, about 6 miles to the west-north-west of Dan.</p>"
"17","Abelcheramim","<p>(Judg. 11:33, R.V.; A. V., &quot;plain of the vineyards&quot;), a village of the Ammonites, whither Jephthah pursued their forces.</p>"
"18","Abelmeholah","<p>Meadow of dancing, or the dancing-meadow, the birth-place and residence of the prophet Elisha, not far from Beth-shean (1 Kings 4:12), in the tribe of Issachar, near where the Wady el-Maleh emerges into the valley of the Jordan, &quot;the rich meadow-land which extends about 4 miles south of Beth-shean; moist and luxuriant.&quot; Here Elisha was found at his plough by Elijah on his return up the Jordan valley from Horeb (1 Kings 19:16). It is now called Ain Helweh.</p>"
"19","Abelmizraim","<p>Meadow of Egypt, or mourning of Egypt, a place &quot;beyond,&quot; i.e., on the west of Jordan, at the &quot;threshing-floor of Atad.&quot; Here the Egyptians mourned seventy days for Jacob (Gen. 50:4-11). Its site is unknown.</p>"
"20","Abelshittim","<p>Meadow of the acacias, frequently called simply &quot;Shittim&quot; (Num. 25:1; Josh. 2:1; Micah 6:5), a place on the east of Jordan, in the plain of Moab, nearly opposite Jericho. It was the forty-second encampment of the Israelites, their last resting-place before they crossed the Jordan (Num. 33:49; 22:1; 26:3; 31:12; comp. 25:1; 31:16).</p>"
"21","Abez","<p>Tin, or white, a town in the tribe of Issachar (Josh. 19:20), at the north of the plain of Esdraelon. It is probably identified with the ruins of el-Beida.</p>"
"22","Abia","<p>My father is the Lord, the Greek form of Abijah, or Abijam (Matt. 1:7), instead of Abiah (1 Chr. 7:8). In Luke 1:5, the name refers to the head of the eighth of the twenty-four courses into which David divided the priests (1 Chr. 24:10).</p>"
"23","Abialbon","<p>Father of strength; i.e., &quot;valiant&quot;, one of David&#39;s body-guard of thirty mighty men (2 Sam. 23:31); called also Abiel (1 Chr. 11:32).</p>"
"24","Abiasaph","<p>Father of gathering; the gatherer, the youngest of the three sons of Korah the Levite, head of a family of Korhites (Ex. 6:24); called Ebisaph (1 Chr. 6:37).</p>"
"25","Abiathar","<p>Father of abundance, or my father excels, the son of Ahimelech the high priest. He was the tenth high priest, and the fourth in descent from Eli. When his father was slain with the priests of Nob, he escaped, and bearing with him the ephod, he joined David, who was then in the cave of Adullam (1 Sam. 22:20-23; 23:6). He remained with David, and became priest of the party of which he was the leader (1 Sam. 30:7). When David ascended the throne of Judah, Abiathar was appointed high priest (1 Chr. 15:11; 1 Kings 2:26) and the &quot;king&#39;s companion&quot; (1 Chr. 27:34). Meanwhile Zadok, of the house of Eleazar, had been made high priest. These appointments continued in force till the end of David&#39;s reign (1 Kings 4:4). Abiathar was deposed (the sole historical instance of the deposition of a high priest) and banished to his home at Anathoth by Solomon, because he took part in the attempt to raise Adonijah to the throne. The priesthood thus passed from the house of Ithamar (1 Sam. 2:30-36; 1 Kings 1:19; 2:26, 27). Zadok now became sole high priest. In Mark 2:26, reference is made to an occurrence in &quot;the days of Abiathar the high priest.&quot; But from 1 Sam. 22, we learn explicitly that this event took place when Ahimelech, the father of Abiathar, was high priest. The apparent discrepancy is satisfactorily explained by interpreting the words in Mark as referring to the life-time of Abiathar, and not to the term of his holding the office of high priest. It is not implied in Mark that he was actual high priest at the time referred to. Others, however, think that the loaves belonged to Abiathar, who was at that time (Lev. 24:9) a priest, and that he either himself gave them to David, or persuaded his father to give them.</p>"
"26","Abib","<p>An ear of corn, the month of newly-ripened grain (Ex. 13:4; 23:15); the first of the Jewish ecclesiastical year, and the seventh of the civil year. It began about the time of the vernal equinox, on 21st March. It was called Nisan, after the Captivity (Neh. 2:1). On the fifteenth day of the month, harvest was begun by gathering a sheaf of barley, which was offered unto the Lord on the sixteenth (Lev. 23:4-11).</p>"
"27","Abida","<p>Or Abi&#39;dah, father of knowledge; knowing, one of the five sons of Midian, who was the son of Abraham by Keturah (1 Chr. 1:33), and apparently the chief of an Arab tribe.</p>"
"28","Abidan","<p>Father of judgment; judge, head of the tribe of Benjamin at the Exodus (Num. 1:11; 2:22).</p>"
"29","Abieezer","<p>Father of help; i.e., &quot;helpful.&quot; (1.) The second of the three sons of Hammoleketh, the sister of Gilead. He was the grandson of Manasseh (1 Chr. 7:18). From his family Gideon sprang (Josh. 17:2; comp. Judg. 6:34; 8:2). He was also called Jeezer (Num. 26:30).</p><p>(2.) One of David&#39;s thirty warriors (2 Sam. 23:27; comp. 1 Chr. 27:12).</p><p>(3.) The prince of the tribe of Dan at the Exodus (Num. 1:12).</p>"
"30","Abiel","<p>Father (i.e., &quot;possessor&quot;) of God = &quot;pious.&quot; (1.) The son of Zeror and father of Ner, who was the grandfather of Saul (1 Sam. 14:51; 1 Chr. 8:33; 9:39). In 1 Sam. 9:1, he is called the &quot;father,&quot; probably meaning the grandfather, of Kish. (2.) An Arbathite, one of David&#39;s warriors (1 Chr. 11:32); called also Abi-albon (2 Sam. 23:31).</p>"
"31","Abiezrite","<p>Father of help, a descendant of Abiezer (Judg. 6:11, 24; 8:32).</p>"
"32","Abigail","<p>Father (i.e., &quot;leader&quot;) of the dance, or &quot;of joy.&quot; (1.) The sister of David, and wife of Jether an Ishmaelite (1 Chr. 2:16, 17). She was the mother of Amasa (2 Sam. 17:25).</p><p>(2.) The wife of the churlish Nabal, who dwelt in the district of Carmel (1 Sam. 25:3). She showed great prudence and delicate management at a critical period of her husband&#39;s life. She was &quot;a woman of good understanding, and of a beautiful countenance.&quot; After Nabal&#39;s death she became the wife of David (1 Sam. 25:14-42), and was his companion in all his future fortunes (1 Sam. 27:3; 30:5; 2 Sam. 2:2). By her David had a son called Chileab (2 Sam. 3:3), elsewhere called Daniel (1 Chr. 3:1).</p>"
"33","Abihail","<p>Father of might. (1.) Num. 3:35. (2.) 1 Chr. 2:29. (3.) 1 Chr. 5:14.</p><p>(4.) The second wife of King Rehoboam (2 Chr. 11:18), a descendant of Eliab, David&#39;s eldest brother.</p><p>(5.) The father of Esther and uncle of Mordecai (Esther 2:15).</p>"
"34","Abihu","<p>Father of Him; i.e., &quot;worshipper of God&quot;, the second of the sons of Aaron (Ex. 6:23; Num. 3:2; 26:60; 1 Chr. 6:3). Along with his three brothers he was consecrated to the priest&#39;s office (Ex. 28:1). With his father and elder brother he accompanied the seventy elders part of the way up the mount with Moses (Ex. 24:1, 9). On one occasion he and Nadab his brother offered incense in their censers filled with &quot;strange&quot; (i.e., common) fire, i.e., not with fire taken from the great brazen altar (Lev. 6:9, etc.), and for this offence they were struck dead, and were taken out and buried without the camp (Lev. 10:1-11; comp. Num. 3:4; 26:61; 1 Chr. 24:2). It is probable that when they committed this offence they were intoxicated, for immediately after is given the law prohibiting the use of wine or strong drink to the priests.</p>"
"35","Abihud","<p>Father (i.e., &quot;possessor&quot;) of renown. (1.) One of the sons of Bela, the son of Benjamin (1 Chr. 8:3); called also Ahihud (ver. 7).</p><p>(2.) A descendant of Zerubbabel and father of Eliakim (Matt. 1:13, &quot;Abiud&quot;); called also Juda (Luke 3:26), and Obadiah (1 Chr. 3:21).</p>"
"36","Abijah","<p>Father (i.e., &quot;possessor or worshipper&quot;) of Jehovah. (1.) 1 Chr. 7:8. (2.) 1 Chr. 2:24.</p><p>(3.) The second son of Samuel (1 Sam. 8:2; 1 Chr. 6:28). His conduct, along with that of his brother, as a judge in Beer-sheba, to which office his father had appointed him, led to popular discontent, and ultimately provoked the people to demand a royal form of government.</p><p>(4.) A descendant of Eleazar, the son of Aaron, a chief of one of the twenty-four orders into which the priesthood was divided by David (1 Chr. 24:10). The order of Abijah was one of those which did not return from the Captivity (Ezra 2:36-39; Neh. 7:39-42; 12:1).</p><p>(5.) The son of Rehoboam, whom he succeeded on the throne of Judah (1 Chr. 3:10). He is also called Abijam (1 Kings 14:31; 15:1-8). He began his three years&#39; reign (2 Chr. 12:16; 13:1, 2) with a strenuous but unsuccessful effort to bring back the ten tribes to their allegiance. His address to &quot;Jeroboam and all Israel,&quot; before encountering them in battle, is worthy of being specially noticed (2 Chr. 13:5-12). It was a very bloody battle, no fewer than 500,000 of the army of Israel having perished on the field. He is described as having walked &quot;in all the sins of his father&quot; (1 Kings 15:3; 2 Chr. 11:20-22). It is said in 1 Kings 15:2 that &quot;his mother&#39;s name was Maachah, the daughter of Abishalom;&quot; but in 2 Chr. 13:2 we read, &quot;his mother&#39;s name was Michaiah, the daughter of Uriel of Gibeah.&quot; The explanation is that Maachah is just a variation of the name Michaiah, and that Abishalom is probably the same as Absalom, the son of David. It is probable that &quot;Uriel of Gibeah&quot; married Tamar, the daughter of Absalom (2 Sam. 14:27), and by her had Maachah. The word &quot;daughter&quot; in 1 Kings 15:2 will thus, as it frequently elsewhere does, mean grand-daughter.</p><p>(6.) A son of Jeroboam, the first king of Israel. On account of his severe illness when a youth, his father sent his wife to consult the prophet Ahijah regarding his recovery. The prophet, though blind with old age, knew the wife of Jeroboam as soon as she approached, and under a divine impulse he announced to her that inasmuch as in Abijah alone of all the house of Jeroboam there was found &quot;some good thing toward the Lord,&quot; he only would come to his grave in peace. As his mother crossed the threshold of the door on her return, the youth died, and &quot;all Israel mourned for him&quot; (1 Kings 14:1-18).</p><p>(7.) The daughter of Zechariah (2 Chr. 29:1; comp. Isa. 8:2), and afterwards the wife of Ahaz. She is also called Abi (2 Kings 18:2).</p><p>(8.) One of the sons of Becher, the son of Benjamin (1 Chr. 7:8). &quot;Abiah,&quot; A.V.</p>"
"37","Abijam","<p>Father of the sea; i.e., &quot;seaman&quot; the name always used in Kings of the king of Judah, the son of Rehoboam, elsewhere called Abijah (1 Kings 15:1, 7, 8). (See [2]ABIJAH.)</p>"
"38","Abilene","<p>A plain, a district lying on the east slope of the Anti-Lebanon range; so called from its chief town, Abila (Luke 3:1), which stood in the Suk Wady Barada, between Heliopolis (Baalbec) and Damascus, 38 miles from the former and 18 from the latter. Lysanias was governor or tetrarch of this province.</p>"
"39","Abimael","<p>Father of Mael, one of the sons or descendants of Joktan, in Northern Arabia (Gen. 10:28; 1 Chr. 1:22).</p>"
"40","Abimelech","<p>My father a king, or father of a king, a common name of the Philistine kings, as &quot;Pharaoh&quot; was of the Egyptian kings. (1.) The Philistine king of Gerar in the time of Abraham (Gen. 20:1-18). By an interposition of Providence, Sarah was delivered from his harem, and was restored to her husband Abraham. As a mark of respect he gave to Abraham valuable gifts, and offered him a settlement in any part of his country; while at the same time he delicately and yet severely rebuked him for having practised a deception upon him in pretending that Sarah was only his sister. Among the gifts presented by the king were a thousand pieces of silver as a &quot;covering of the eyes&quot; for Sarah; i.e., either as an atoning gift and a testimony of her innocence in the sight of all, or rather for the purpose of procuring a veil for Sarah to conceal her beauty, and thus as a reproof to her for not having worn a veil which, as a married woman, she ought to have done. A few years after this Abimelech visited Abraham, who had removed southward beyond his territory, and there entered into a league of peace and friendship with him. This league was the first of which we have any record. It was confirmed by a mutual oath at Beer-sheba (Gen. 21:22-34).</p><p>(2.) A king of Gerar in the time of Isaac, probably the son of the preceeding (Gen. 26:1-22). Isaac sought refuge in his territory during a famine, and there he acted a part with reference to his wife Rebekah similar to that of his father Abraham with reference to Sarah. Abimelech rebuked him for the deception, which he accidentally discovered. Isaac settled for a while here, and prospered. Abimelech desired him, however, to leave his territory, which Isaac did. Abimelech afterwards visited him when he was encamped at Beer-sheba, and expressed a desire to renew the covenant which had been entered into between their fathers (Gen. 26:26-31).</p><p>(3.) A son of Gideon (Judg. 9:1), who was proclaimed king after the death of his father (Judg. 8:33-9:6). One of his first acts was to murder his brothers, seventy in number, &quot;on one stone,&quot; at Ophrah. Only one named Jotham escaped. He was an unprincipled, ambitious ruler, often engaged in war with his own subjects. When engaged in reducing the town of Thebez, which had revolted, he was struck mortally on his head by a mill-stone, thrown by the hand of a woman from the wall above. Perceiving that the wound was mortal, he desired his armour-bearer to thrust him through with his sword, that it might not be said he had perished by the hand of a woman (Judg. 9:50-57).</p><p>(4.) The son of Abiathar, and high priest in the time of David (1 Chr. 18:16). In the parallel passage, 2 Sam. 8:17, we have the name Ahimelech, and Abiathar, the son of Ahimelech. This most authorities consider the more correct reading. (5.) Achish, king of Gath, in the title of Ps. 34. (Comp. 1 Sam. 21:10-15.)</p>"
"41","Abinadab","<p>Father of nobleness; i.e., &quot;noble.&quot; (1.) A Levite of Kirjath-jearim, in whose house the ark of the covenant was deposited after having been brought back from the land of the Philistines (1 Sam. 7:1). It remained there twenty years, till it was at length removed by David (1 Sam. 7:1, 2; 1 Chr. 13:7).</p><p>(2.) The second of the eight sons of Jesse (1 Sam. 16:8). He was with Saul in the campaign against the Philistines in which Goliath was slain (1 Sam. 17:13).</p><p>(3.) One of Saul&#39;s sons, who peristed with his father in the battle of Gilboa (1 Sam. 31:2; 1 Chr. 10:2).</p><p>(4.) One of Solomon&#39;s officers, who &quot;provided victuals for the king and his household.&quot; He presided, for this purpose, over the district of Dor (1 Kings 4:11).</p>"
"42","Abinoam","<p>Father of kindness, the father of Barak (Judg. 4:6; 5:1).</p>"
"43","Abiram","<p>Father of height; i.e., &quot;proud.&quot; (1.) One of the sons of Eliab, who joined Korah in the conspiracy against Moses and Aaron. He and all the conspirators, with their families and possessions (except the children of Korah), were swallowed up by an earthquake (Num. 16:1-27; 26:9; Ps. 106:17).</p><p>(2.) The eldest son of Hiel the Bethelite, who perished prematurely in consequence of his father&#39;s undertaking to rebuild Jericho (1 Kings 16:34), according to the words of Joshua (6:26). (See [3]JERICHO.)</p>"
"44","Abishag","<p>Father of (i.e., &quot;given to&quot;) error, a young woman of Shunem, distinguished for her beauty. She was chosen to minister to David in his old age. She became his wife (1 Kings 1:3, 4, 15). After David&#39;s death Adonijah persuaded Bathsheba, Solomon&#39;s mother, to entreat the king to permit him to marry Abishag. Solomon suspected in this request an aspiration to the throne, and therefore caused him to be put to death (1 Kings 2:17-25).</p>"
"45","Abishai","<p>Father of (i.e., &quot;desirous of&quot;) a gift, the eldest son of Zeruiah, David&#39;s sister. He was the brother of Joab and Asahel (2 Sam. 2:18; 1 Chr. 2:16). Abishai was the only one who accompanied David when he went to the camp of Saul and took the spear and the cruse of water from Saul&#39;s bolster (1 Sam. 26:5-12). He had the command of one of the three divisions of David&#39;s army at the battle with Absalom (2 Sam. 18:2, 5, 12). He slew the Philistine giant Ishbi-benob, who threatened David&#39;s life (2 Sam. 21:15-17). He was the chief of the second rank of the three &quot;mighties&quot; (2 Sam. 23:18, 19; 1 Chr. 11:20, 21); and on one occasion withstood 300 men, and slew them with his own spear (2 Sam. 23:18). Abishai is the name of the Semitic chief who offers gifts to the lord of Beni-Hassan. See illustration facing page 10.</p>"
"46","Abishua","<p>Father of welfare; i.e., &quot;fortunate.&quot; (1.) The grandson of Benjamin (1 Chr. 8:4).</p><p>(2.) The son of Phinehas the high priest (1 Chr. 6:4, 5, 50; Ezra 7:5).</p>"
"47","Abishur","<p>Father of the wall; i.e., &quot;mason&quot;, one of the two sons of Shammai of the tribe of Judah (1 Chr. 2:28, 29).</p>"
"48","Abital","<p>Father of dew; i.e., &quot;fresh&quot;, David&#39;s fifth wife (2 Sam. 3:4).</p>"
"49","Abitub","<p>Father of goodness, a Benjamite (1 Chr. 8:11).</p>"
"50","Abjects","<p>(Ps. 35:15), the translation of a Hebrew word meaning smiters; probably, in allusion to the tongue, slanderers. (Comp. Jer. 18:18.)</p>"
"51","Ablution","<p>Or washing, was practised, (1.) When a person was initiated into a higher state: e.g., when Aaron and his sons were set apart to the priest&#39;s office, they were washed with water previous to their investiture with the priestly robes (Lev. 8:6).</p><p>(2.) Before the priests approached the altar of God, they were required, on pain of death, to wash their hands and their feet to cleanse them from the soil of common life (Ex. 30:17-21). To this practice the Psalmist alludes, Ps. 26:6.</p><p>(3.) There were washings prescribed for the purpose of cleansing from positive defilement contracted by particular acts. Of such washings eleven different species are prescribed in the Levitical law (Lev. 12-15).</p><p>(4.) A fourth class of ablutions is mentioned, by which a person purified or absolved himself from the guilt of some particular act. For example, the elders of the nearest village where some murder was committed were required, when the murderer was unknown, to wash their hands over the expiatory heifer which was beheaded, and in doing so to say, &quot;Our hands have not shed this blood, neither have our eyes seen it&quot; (Deut. 21:1-9). So also Pilate declared himself innocent of the blood of Jesus by washing his hands (Matt. 27:24). This act of Pilate may not, however, have been borrowed from the custom of the Jews. The same practice was common among the Greeks and Romans.</p><p>The Pharisees carried the practice of ablution to great excess, thereby claiming extraordinary purity (Matt. 23:25). Mark (7:1-5) refers to the ceremonial ablutions. The Pharisees washed their hands &quot;oft,&quot; more correctly, &quot;with the fist&quot; (R.V., &quot;diligently&quot;), or as an old father, Theophylact, explains it, &quot;up to the elbow.&quot; (Compare also Mark 7:4; Lev. 6:28; 11: 32-36; 15:22) (See [4]WASHING.)</p>"
