"id","chapter","verse","note"
"60","Genesis 6","14","rooms: Heb. nests
"
"61","Genesis 7","2","by sevens: Heb. seven seven
"
"62","Genesis 7","4","destroy: Heb. blot out
"
"63","Genesis 7","10","after seven days: Or, on the seventh day
"
"64","Genesis 7","11","windows: Or, floodgates
"
"65","Genesis 7","14","sort: Heb. wing
"
"66","Genesis 7","22","the breath of life: Heb. the breath of the spirit of life
"
"67","Genesis 8","3","continually: Heb. in going and returning
"
"68","Genesis 8","5","decreased continually: Heb. were in going and decreasing
"
"69","Genesis 8","7","to and fro: Heb. in going forth and returning
"
"70","Genesis 8","9","pulled her in unto him: Heb. caused her to come
"
"71","Genesis 8","19","kinds: Heb. families
"
"72","Genesis 8","21","a sweet savour: Heb. a savour of rest Or, satisfaction
"
"73","Genesis 8","22","While the earth remained: Heb. as yet all the days of the earth
"
"74","Genesis 9","18","Canaan: Heb. Chenaan
"
"75","Genesis 9","26","his servant: Or, servant to them
"
"76","Genesis 9","27","enlarge: Or, persuade
"
"77","Genesis 10","10","Babel: Gr. Babylon
"
"78","Genesis 10","11","went forth Ashur: Or, he went out into Assyria
"
"79","Genesis 10","11","the city: Or, the streets of the city
"
"80","Genesis 10","15","Sidon: Heb. Tzidon
"
"81","Genesis 10","19","Gaza: Heb. Azzah
"
"82","Genesis 10","22","Arphaxad: Heb. Arpachshad
"
"83","Genesis 10","24","Salah: Heb. Shelah
"
"84","Genesis 11","1","language: Heb. lip
"
"85","Genesis 11","1","speech: Heb. words
"
"86","Genesis 11","3","they said one to another: Heb. a man said to his neighbor
"
"87","Genesis 11","3","burn them throughly: Heb. burn them to a burning
"
"88","Genesis 11","9","Babel: that is, Confusion
"
"89","Genesis 11","16","Peleg: Phalec
"
"90","Genesis 11","20","Serug: Saruch
"
"91","Genesis 11","24","Terah: Thara
"
"92","Genesis 12","9","going on still toward the South: Heb. in going and journeying
"
"93","Genesis 13","8","brethren: Heb. men brethren
"
"94","Genesis 13","18","plain: Heb. plains
"
"95","Genesis 14","5","Shaveh Kiriathaim: Or, the plain of Kiriathaim
"
"96","Genesis 14","6","Elparan: Or, the plain of Paran
"
"97","Genesis 14","14","armed: Or, led forth
"
"98","Genesis 14","14","trained: Or, instructed
"
"99","Genesis 14","21","persons: Heb. souls
"
"100","Genesis 15","17","a burning lamp: Heb. a lamp of fire
"
"101","Genesis 16","2","obtain children by her: be built by her
"
"102","Genesis 16","6","as it pleaseth thee: that which is good in thy eyes
"
"103","Genesis 16","6","dealt hardly with her: afflicted her
"
"104","Genesis 16","11","Ishmael: that is, God shall hear
"
"105","Genesis 16","14","Beerlahairoi: That is, the well of him that liveth and seeth me
"
"106","Genesis 17","1","perfect: Or, upright or sincere
"
"107","Genesis 17","4","many nations: Heb. multitude of nations
"
"108","Genesis 17","8","wherein thou art a stranger: Heb. of thy sojournings
"
"109","Genesis 17","12","he that is eight days old: Heb. a son of eight days
"
"110","Genesis 17","16","she shall be a mother of nations: Heb. she shall become nations
"
"111","Genesis 18","5","comfort: Heb. stay
"
"112","Genesis 18","5","are you come: Heb. you have passed
"
"113","Genesis 18","6","make ready: Heb. hasten
"
"114","Genesis 19","15","are here: Heb. are found
"
"115","Genesis 19","15","iniquity: Heb. punishment
"
"116","Genesis 19","21","thee: Heb. thy face
"
"117","Genesis 19","23","risen: Heb. gone forth
"
"118","Genesis 20","3","a man’s wife: Heb. married to an husband
"
"119","Genesis 20","5","integrity: Or, simplicity or sincerity
"
"120","Genesis 20","15","where it pleaseth thee: Heb. as is good in thine eyes
"
"121","Genesis 21","23","deal falsely with me: Heb. if thou shalt lie unto me
"
"122","Genesis 21","31","Beersheba: that is, The well of the oath
"
"123","Genesis 21","33","grove: Or, Tree
"
"124","Genesis 22","1","Behold, here I am: Heb. Behold me
"
"125","Genesis 22","7","Here am I: Heb. behold me
"
"126","Genesis 22","7","lamb: Or, kid
"
"127","Genesis 22","14","Jehovahjireh: that is, The Lord will see, or, provide
"
"128","Genesis 22","17","shore: Heb. lip
"
"129","Genesis 23","6","a mighty Prince: Heb. a Prince of God
"
"130","Genesis 23","9","as much money: Heb. full money
"
"131","Genesis 23","10","audience: Heb. ears
"
"132","Genesis 24","1","well stricken in age: Heb. gone into days
"
"133","Genesis 24","10","for: Or, And
"
"134","Genesis 24","11","that woman go out to draw water: Heb. that woman which draw water, go forth
"
"135","Genesis 24","16","very fair to look upon: Heb. good of countenance
"
"136","Genesis 24","22","earring: Or, jewel for the forehead
"
"137","Genesis 24","53","jewels: Heb. vessels
"
"138","Genesis 24","55","a few days: Or, a full year, or, ten months
"
"139","Genesis 24","63","to meditate: Or, to pray
"
"140","Genesis 25","18","died: Heb. fell
"
"141","Genesis 25","18","he did eat of his venison: Heb. venison was in is mouth
"
"142","Genesis 25","30","with that same red pottage: Heb. with that red, with that red pottage
"
"143","Genesis 25","32","at the point to die: Heb. going to die
"
"144","Genesis 26","12","received: Heb. found
"
"145","Genesis 26","13","went forward: Heb. went going
"
"146","Genesis 26","14","servants: Or, husbandry
"
"147","Genesis 26","19","springing: Heb. living
"
"148","Genesis 26","20","Esek: that is, Contention
"
"149","Genesis 26","21","Sitnah: that is, Hatred
"
"150","Genesis 26","22","Rehoboth: That is, room
"
"151","Genesis 26","28","We saw: Heb. seeing we saw
"
"152","Genesis 26","29","That thou wilt: Heb. if thou shalt etc.
"
"153","Genesis 26","33","Shebah: That is, an oath
"
"154","Genesis 26","33","Beersheba: That is, the well of the oath
"
"155","Genesis 26","35","a grief of mind: Heb. bitterness of spirit
"
"156","Genesis 27","3","take: Heb. hunt
"
"157","Genesis 27","15","goodly: Heb. desirable
"
"158","Genesis 27","20","to me: Heb. before me
"
"159","Genesis 27","33","trembled very exceedingly: Heb. trembled with a great trembling greatly
"
"160","Genesis 27","33","taken: Heb. hunted
"
"161","Genesis 27","36","Jacob: That is, A supplanter
"
"162","Genesis 27","37","sustained: Or, supported
"
"163","Genesis 27","39","the fatness: Or, of the fatness
"
"164","Genesis 28","3","a multitude: Heb. an assembly of people
"
"165","Genesis 28","3","wherein thou art a stranger: Heb. of thy sojournings
"
"166","Genesis 28","8","pleased not: Heb. were evil in the eyes, etc
"
"167","Genesis 28","14","spread abroad: Heb. break forth
"
"168","Genesis 28","19","Bethel: that is, the house of God
"
"169","Genesis 29","1","went on his journey: Heb. lift up his feet
"
"170","Genesis 29","1","people: Heb. children
"
"171","Genesis 29","6","Is he well?: Heb. Is there peace to him?
"
"172","Genesis 29","7","it is yet high day: Heb. yet the day is great
"
"173","Genesis 29","13","tidings: Heb. hearing
"
"174","Genesis 29","14","the space of a month: Heb. a month of days
"
"175","Genesis 29","26","country: Heb. place
"
"176","Genesis 29","32","Reuben: that is, See a son
"
"177","Genesis 29","33","Simeon: that is, Hearing
"
"178","Genesis 29","34","Levi: that is, joined
"
"179","Genesis 29","35","Judah: that is, Praise
"
"180","Genesis 29","35","left bearing: Heb. stood from bearing
"
"181","Genesis 30","3","have children by her: Heb. be built by her
"
"182","Genesis 30","6","Dan: that is, Judging
"
"183","Genesis 30","8","great wrestlings: Heb. wrestlings of God
"
"184","Genesis 30","8","Nephtali: That is, My wrestling
"
"185","Genesis 30","11","Gad: that is, A troop, or company
"
"186","Genesis 30","13","Happy am I: Heb. in my happiness
"
"187","Genesis 30","13","Asher: That is, Happy
"
"188","Genesis 30","18","Issachar: That is, An hire
"
"189","Genesis 30","20","Zebulun: That is, Dwelling
"
"190","Genesis 30","21","Dinah: That is, Judgment
"
"191","Genesis 30","24","Joseph: That is, Adding
"
"192","Genesis 30","30","increased: Heb. broken forth
"
"193","Genesis 30","30","since my coming: Heb. at my foot
"
"194","Genesis 30","33","in time to come: Heb. tomorrow
"
"195","Genesis 31","2","as before: Heb. as yesterday and the day before
"
"196","Genesis 31","10","rams: Or, he goats
"
"197","Genesis 31","19","images: Heb. teraphim
"
"198","Genesis 31","20","unawares to Laban: Heb. the heart of Laban
"
"199","Genesis 31","24","either good or bad: Heb. from good to bad
"
"200","Genesis 31","27","steal away from me: Heb. hast stolen me
"
"201","Genesis 31","34","searched: Heb. felt
"
"202","Genesis 31","37","searched: Heb. felt
"
"203","Genesis 31","47","Jegarsahadutha: that is, The heap of witness
"
"204","Genesis 31","49","Mizpah: that is, A beacon, or, watchtower
"
"205","Genesis 31","54","offered sacrifice: Or, killed beasts
"
"206","Genesis 32","2","Mahanaim: that is, Two hosts or camps
"
"207","Genesis 32","3","country: Heb. Field
"
"208","Genesis 32","10","I am not worthy of the least of all: Heb. I am less then all etc.
"
"209","Genesis 32","11","with: Heb. upon
"
"210","Genesis 32","20","of me: Heb. my face
"
"211","Genesis 32","23","sent them over: Heb. caused to pass
"
"212","Genesis 32","24","breaking of the day: Heb. Ascending of the morning
"
"213","Genesis 32","30","Peniel: that is, The face of God
"
"214","Genesis 33","5","with thee: Heb. To thee
"
"215","Genesis 33","8","What meanest thou by all this drove which I met?: Heb. What is all this band to thee?
"
"216","Genesis 33","9","keep that thou hast unto thyself: Heb. be that to thee that is thine
"
"217","Genesis 33","14","according as the cattle that goeth before me: Heb. According to the foot of the work, etc.
"
"218","Genesis 33","15","leave: Heb. set, or place
"
"219","Genesis 33","15","What needeth it?: Heb. wherefore is this?
"
"220","Genesis 33","17","Succoth: that is, booths
"
"221","Genesis 33","19","pieces: Or, lambs
"
"222","Genesis 33","20","EleloheIsrael: that is, God, the God of Israel
"
"223","Genesis 34","2","defiled her: Heb. humbled her
"
"224","Genesis 34","3","kindly unto the damsel: Heb. to her heart
"
"225","Genesis 34","26","edge: Heb. mouth
"
"226","Genesis 35","7","Elbethel: that is, The God of Bethel
"
"227","Genesis 35","8","Allonbachuth: that is, The oak of weeping
"
"228","Genesis 35","16","a little way: Heb. a little piece of ground
"
"229","Genesis 35","18","Benoni: that is, The son of my sorrow
"
"230","Genesis 35","18","Benjamin: That is, The son of the right hand
"
"231","Genesis 36","6","persons: Heb. souls
"
"232","Genesis 36","9","the Edomites: Heb. Edom
"
"233","Genesis 36","43","the Edomites: Heb. Edom
"
"234","Genesis 37","3","wherein his father was a stranger: Heb. of his fathers sojournings
"
"235","Genesis 37","3","colors: Or, pieces
"
"236","Genesis 37","14","see whether it be well with thy brethren: Heb. see the peace of thy brethren, etc
"
"237","Genesis 37","19","dreamer: Heb. master of dreams
"
"238","Genesis 37","23","colors: Or, pieces
"
"239","Genesis 37","27","were content: Heb. hearkened
"
"240","Genesis 37","36","officer: Heb. Eunuch. But the word doth signify not only eunuchs, but also chamberlains, courtiers, and officers
"
"241","Genesis 37","36","captain of the guard: Heb. chief of the slaughter men, or executioners. Or, chief Marshall
"
"242","Genesis 38","10","displeased the LORD: Heb. was evil in the eyes of the Lord
"
"243","Genesis 38","12","in process of time: Heb. The days were multiplied
"
"244","Genesis 38","14","an open place: Heb. the door of eyes, or, of Enajim
"
"245","Genesis 38","17","a kid from the flock: Heb. a kid of the goats
"
"246","Genesis 38","21","openly: Or, in Enajim
"
"247","Genesis 38","23","be shamed: Heb. become a contempt
"
"248","Genesis 38","29","How hast thou broken forth?: Or, wherefor has thou made this branch against thee?
"
"249","Genesis 38","29","Pharez: That is, a breach
"
"250","Genesis 39","14","loud: Heb. great
"
"251","Genesis 39","21","shewed him mercy: Heb. extended kindness unto him
"
"252","Genesis 40","7","look ye so sadly today?: Heb. are your faces evil?
"
"253","Genesis 40","13","lift up thine head: Or, reckon
"
"254","Genesis 40","14","think on me: Heb. remember me with thee
"
"255","Genesis 40","16","white baskets: Or, full of holes
"
"256","Genesis 40","17","bakemeats for Pharaoh: Heb. meat of Pharaoh, the work of a baker, or cook
"
"257","Genesis 40","19","lift up thy head from off thee: Or, reckon thee, and take thy office from thee
"
"258","Genesis 40","20","lifted up: Or, reckoned
"
"259","Genesis 41","5","rank: Heb. fat
"
"260","Genesis 41","14","brought him hastily: Heb. made him run
"
"261","Genesis 41","15","thou canst understand a dream, to interpret it: Or, When thou hearest a dream, thou canst interpret it
"
"262","Genesis 41","21","eaten them up: Heb. come to the inward parts of them
"
"263","Genesis 41","23","withered: Or, small
"
"264","Genesis 41","31","grievous: Heb. heavy
"
"265","Genesis 41","32","established by God: Or, prepared of God
"
"266","Genesis 41","34","officers: Or, overseers
"
"267","Genesis 41","36","perish not: Heb. be not cut off
"
"268","Genesis 41","40","be ruled: Heb. armed, or, kiss
"
"269","Genesis 41","42","fine linen: Or, silk
"
"270","Genesis 41","43","bow the knee: Or, Tender father, Heb. Abrech
"
"271","Genesis 41","45","priest: Or, prince
"
"272","Genesis 41","50","priest: Or, Prince
"
"273","Genesis 41","51","Manasseh: That is, Forgetting
"
"274","Genesis 41","52","Ephraim: That is, Fruitful
"
"275","Genesis 41","56","the storehouses: Heb. All wherein was
"
"276","Genesis 42","7","roughly unto them: Heb. hard things with them
"
"277","Genesis 42","16","kept: Heb. bound
"
"278","Genesis 42","17","put them all together: Heb. gathered
"
"279","Genesis 42","23","he spake unto them by an interpreter: Heb. an interpreter was between them
"
"280","Genesis 42","28","failed: Heb. went forth
"
"281","Genesis 42","30","roughly to us: Heb. with us hard things
"
"282","Genesis 43","3","solemnly protest: Heb. protesting he protested
"
"283","Genesis 43","7","asked us straightly: Heb. asking he asked us
"
"284","Genesis 43","7","tenor: Heb. mouth
"
"285","Genesis 43","7","Could we certainly know: Heb. knowing could we know?
"
"286","Genesis 43","7","this second time: Or, twice by this
"
"287","Genesis 43","14","If I be bereaved: Or, And I, as I have been, etc
"
"288","Genesis 43","16","slay: Heb. kill a killing
"
"289","Genesis 43","16","dine: Heb. eat
"
"290","Genesis 43","18","seek occasion against us: Heb. roll himself upon us
"
"291","Genesis 43","7","we came indeed down: Heb. coming down we came down
"
"292","Genesis 43","23","I had your money: Heb. your money came to me
"
"293","Genesis 43","27","welfare: Heb. peace
"
"294","Genesis 43","27","Is your father well: Heb. Is there peace to your father?
"
"295","Genesis 43","34","were merry: Heb. they drank largely
"
"296","Genesis 44","1","steward of his house: Heb. him that was over his house
"
"297","Genesis 44","5","divineth?: Or, maketh trial
"
"298","Genesis 44","15","divine?: Or, make trial?
"
"299","Genesis 44","34","come on my father?: Heb. find my father
"
"300","Genesis 45","2","wept aloud: Heb. gave forth his voice in weeping
"
"301","Genesis 45","3","troubled: Or, terrified
"
"302","Genesis 45","5","nor angry with yourselves: Heb. neither let there be anger in your eyes
"
"303","Genesis 45","7","to preserve you a posterity: Heb. to put for you a remnant
"
"304","Genesis 45","16","pleased Pharaoh well: Heb. was good in the eyes of Pharaoh
"
"305","Genesis 45","20","regard not your stuff: Heb. let not your eye spare, etc
"
"306","Genesis 45","21","commandment: Heb. mouth
"
"307","Genesis 45","23","laden: Heb. carrying
"
"308","Genesis 45","26","Jacob’s: Heb. his
"
"309","Genesis 46","20","priest: Or, prince
"
"310","Genesis 46","26","loins: Heb. thigh
"
"311","Genesis 46","32","their trade hath been to feed cattle: Heb. they are men of cattle
"
"312","Genesis 47","8","How old art thou?: Heb. How many are the days of the years of thy life?
"
"313","Genesis 47","12","according to their families: Or, as a little child is nourished. Heb. according to the little ones
"
"314","Genesis 47","17","he fed them: Heb. led them
"
"315","Genesis 47","22","priests: Or, Princes
"
"316","Genesis 47","26","priests: Or, Princes
"
"317","Genesis 47","28","the whole age of Jacob: Heb. the days of the years of his life
"
"318","Genesis 48","10","dim: Heb. heavy
"
"319","Genesis 48","16","into a multitude: Heb. as fishes do increase
"
"320","Genesis 48","17","displeased…: was evil in his eyes
"
"321","Genesis 48","19","multitude: Heb. fullness
"
"322","Genesis 49","4","thou shalt not excell: Heb. do not thou excell
"
"323","Genesis 49","4","he went up to my couch: Or, my couch is gone
"
"324","Genesis 49","5","instruments of cruelty: Or, their swords are weapons of violence
"
"325","Genesis 49","6","digged down a wall: Or houghed oxen
"
"326","Genesis 49","17","an adder: Heb. an arrow snake
"
"327","Genesis 49","22","branches: Heb. daughters
"
"328","Genesis 50","3","mourned: Heb. wept
"
"329","Genesis 50","11","Abelmizraim: that is, the mourning of the Egyptians
"
"330","Genesis 50","16","sent: Heb. charged
"
"331","Genesis 50","21","kindly unto them: Heb. to their hearts
"
"332","Exodus 1","5","loins: Heb. thigh
"
"333","Exodus 1","12","But the more they afflicted them, the more they multiplied: Heb. and as they afflicted them, so they multiplied, etc
"
"334","Exodus 2","10","Moses: that is, Drawn out
"
"335","Exodus 2","14","a prince and a judge: Heb. A man a Prince
"
"336","Exodus 2","16","priest: Or, Prince
"
"337","Exodus 2","25","had respect: Heb. knew
"
"338","Exodus 3","19","no not by a mighty hand: Or, but by strong hand
"
"339","Exodus 3","22","the Egyptians: Or, Egypt
"
"340","Exodus 4","9","shall become: Heb. shall be and shall be
"
"341","Exodus 4","10","eloquent: Heb. a man of words
"
"342","Exodus 4","10","nor since thou hast: Heb. since yesterday nor since the third day
"
"343","Exodus 4","13","wilt: Or, shouldest
"
"344","Exodus 4","25","stone: Or, knife
"
"345","Exodus 4","25","cast it: Heb. made it touch
"
"346","Exodus 5","9","Let there more work be laid upon the men: Heb. let the work be heavy upon the men
"
"347","Exodus 5","13","daily tasks: Heb. a matter of a day in his day
"
"348","Exodus 5","21","to be abhorred: Heb. to stink
"
"349","Exodus 5","23","neither hast thou delivered: Heb. delivering thou hast not delivered
"
"350","Exodus 6","8","swear: Heb. lift up my hand
"
"351","Exodus 6","9","anguish: Heb. shortness, or, straitness
"
"352","Exodus 7","19","pools of water: Heb. gathering of their waters
"
"353","Exodus 8","3","kneadingtroughs: Or, dough
"
"354","Exodus 8","9","Glory over me: Or, have this honour over me, etc
"
"355","Exodus 8","9","when shall I entreat: Or, against when
"
"356","Exodus 8","9","destroy: Heb. to cut off
"
"357","Exodus 8","10","Tomorrow: Or, Against tomorrow
"
"358","Exodus 8","21","swarms of flies: Or, a mixture of noisome beasts, etc
"
"359","Exodus 8","23","a division: Heb. a redemption
"
"360","Exodus 8","23","tomorrow: Or, by tomorrow
"
"361","Exodus 8","24","corrupted: Or, destroyed
"
"362","Exodus 9","16","raised thee up: Heb. made thee stand
"
"363","Exodus 9","21","regarded not: Heb. set not his heart unto
"
"364","Exodus 9","28","mighty thunderings: Heb. voices of God
"
"365","Exodus 9","32","not grown: Heb. hidden Or, dark
"
"366","Exodus 9","35","by Moses: Heb. by the hand of Moses
"
"367","Exodus 10","5","face: Heb. eye
"
"368","Exodus 10","8","who: Heb. who &amp; who etc
"
"369","Exodus 10","16","called for: Heb. hastened to call
"
"370","Exodus 10","19","cast: Heb. fastened
"
"371","Exodus 10","21","even darkness which may be felt: Heb. that one may feel darkness
"
"372","Exodus 10","25","us: Heb. into our hands
"
"373","Exodus 11","8","that follow thee: Heb. that is at thy feet
"
"374","Exodus 11","8","a great anger: Heb. heat of anger
"
"375","Exodus 12","3","lamb: Or, kid
"
"376","Exodus 12","5","of the first year: Heb. son of a year
"
"377","Exodus 12","6","in the evening: Heb. between the two evenings
"
"378","Exodus 12","12","gods: Or, princes
"
"379","Exodus 12","13","to destroy: Heb. for a destruction
"
"380","Exodus 12","16","man: Heb. soul
"
"381","Exodus 12","21","lamb: Or, kid
"
"382","Exodus 12","29","dungeon: Heb. house of the pit
"
"383","Exodus 12","34","kneadingtroughs: Or, dough
"
"384","Exodus 12","38","a mixed multitude: Heb. a great mixture
"
"385","Exodus 12","42","a night to be much observed: Heb. a night of observations
"
"386","Exodus 12","47","keep it: Heb. do it
"
"387","Exodus 13","3","bondage: Heb. servants
"
"388","Exodus 13","12","set apart: Heb. cause to pass over
"
"389","Exodus 13","13","lamb: Or, kid
"
"390","Exodus 13","14","in time to come: Heb. tomorrow
"
"391","Exodus 13","18","harnessed: Or, by five in a rank
"
"392","Exodus 14","13","for the Egyptians whom ye have seen today: Or, For whereas you have seen the Egyptians today, etc.
"
"393","Exodus 14","25","that they drave them heavily: Or, made them to go heavily
"
"394","Exodus 14","27","overthrew: Heb. shook off
"
"395","Exodus 14","31","work: Heb. hand
"
"396","Exodus 15","9","destroy: Or, repossess
"
"397","Exodus 15","11","gods?: Or, mighty ones?
"
"398","Exodus 15","23","Marah: that is, Bitterness
"
"399","Exodus 16","4","a certain rate every day: Heb. the portion of a day in his day
"
"400","Exodus 16","15","It is Manna: Or, what is this? or it is a portion
"
"401","Exodus 16","16","for every man: Heb. by the pole or head
"
"402","Exodus 16","16","persons: Heb. souls
"
"403","Exodus 17","7","Massah: that is, Temptation
"
"404","Exodus 17","7","Meribah: That is, Chiding, or, strife
"
"405","Exodus 17","9","Joshua: called Jesus, Acts. 7.45
"
"406","Exodus 17","15","JEHOVAH Nissi: that is, The LORD my banner
"
"407","Exodus 17","16","Because the LORD hath sworn that the LORD will have war with Amalek: Or, because the hand of Amalek is against the throne of the LORD, therefore etc. Heb. The hand upon the throne of the Lord
"
"408","Exodus 18","3","Gershom: that is, A stranger there
"
"409","Exodus 18","4","Eliezer: that is, my God is an help
"
"410","Exodus 18","7","welfare: Heb. peace
"
"411","Exodus 18","8","come upon them: Heb. found them
"
"412","Exodus 18","16","one and another: Heb. a man and his fellow
"
"413","Exodus 18","18","Thou wilt surely wear away: Heb. Fading thou wilt fade
"
"414","Exodus 19","13","trumpet: Or, Cornet
"
"415","Exodus 19","21","charge: Heb. contest
"
"416","Exodus 20","2","bondage: Heb. servants
"
"417","Exodus 20","25","build it of hewen stone: Heb. build them with hewing
"
"418","Exodus 21","3","by himself: Heb. with his body
"
"419","Exodus 21","5","shall plainly say: Heb. saying shall say
"
"420","Exodus 21","8","please not her master: Heb. be evil in the eyes of, etc
"
"421","Exodus 21","17","curseth: Or, revileth
"
"422","Exodus 21","18","another: Or, his neighbour
"
"423","Exodus 21","19","the loss: ceasing
"
"424","Exodus 21","20","punished: Heb. avenged
"
"425","Exodus 22","1","sheep: Or, goat
"
"426","Exodus 22","17","pay: Heb. weigh
"
"427","Exodus 22","28","Gods: Or, judges
"
"428","Exodus 22","29","first: Heb. thy fullness
"
"429","Exodus 22","29","liquors: Heb. Teare
"
"430","Exodus 23","1","raise: Or, receive
"
"431","Exodus 23","2","speak: Heb. answer
"
"432","Exodus 23","5","and wouldest forbear to help him, thou shalt surely help with him: Or, wilt thou cease to help him? Or, etc wouldest cease to leave thy business for him, thou shalt surely leave it to join with him
"
"433","Exodus 23","8","the wise: Heb. the seeing
"
"434","Exodus 23","9","heart: Heb. soul
"
"435","Exodus 23","11","oliveyard: Or, olive trees
"
"436","Exodus 23","18","sacrifice: Or, feast
"
"437","Exodus 23","22","an adversary unto thine adversaries: Or, I will afflict them that afflict thee
"
"438","Exodus 23","27","backs: Heb. necks
"
"439","Exodus 25","2","bring me: Heb. take for me
"
"440","Exodus 25","2","offering: Or, heave offering
"
"441","Exodus 25","3","linen: Or, silk
"
"442","Exodus 25","19","of the Mercy seat: Or, of the matter of the Mercy seat
"
"443","Exodus 25","29","to cover withall: Or, to power out withall
"
"444","Exodus 25","37","shall light: Or, cause to ascend
"
"445","Exodus 25","37","it: Heb. the face of it
"
"446","Exodus 25","40","which was showed thee: Heb. which thou wast caused to see
"
"447","Exodus 26","1","of cunning work shalt thou make them: Heb. the work of a cunning workman, or embroiderer
"
"448","Exodus 26","11","tent: Or, covering
"
"449","Exodus 26","13","of that which remaineth: Heb. in the remainder or surplusage
"
"450","Exodus 26","17","tenons: Heb. hands
"
"451","Exodus 26","24","coupled: Heb. twinned
"
"452","Exodus 27","8","it was shewed: Heb. he shewed
"
"453","Exodus 27","18","fifty: Heb. fifty by fifty
"
"454","Exodus 27","20","to burn: Heb. to ascend up
"
"455","Exodus 28","8","curious: Or, embroidered
"
"456","Exodus 28","17","set in it settings of stones: Heb. fill in it fillings of stone
"
"457","Exodus 28","17","Sarius: Or, Ruby
"
"458","Exodus 28","20","inclosings: Heb. fillings
"
"459","Exodus 28","33","hem: Or, skirts
"
"460","Exodus 28","41","consecrate: Heb. fill their hand
"
"461","Exodus 28","42","their nakedness: Heb. flesh of their nakedness
"
"462","Exodus 28","42","reach: Heb. be
"
"463","Exodus 29","9","put: Heb. bind
"
"464","Exodus 29","9","consecrate: Heb. fill the hand of
"
"465","Exodus 29","13","the caul: it seemeth by anatomy, and the Hebrew doctors, to be the midriff
"
"466","Exodus 29","17","unto: Or, upon
"
"467","Exodus 29","24","wave: Or, shake to and fro
"
